# Topic pass over the deck, keyed by Anki note id (see import/lib/tagging.js).
# id	word	fields	situations
1708637439854	私	people	
1708637439855	あなた	people	
1708637439856	さん	people	greetings
1708637439857	彼	people	
1708637439858	好き	feelings	
1708637439859	人	people	
1708637439860	いい	describing	
1708637439861	人	people,places	
1708637439862	日本語	speaking,school	classroom
1708637439863	勉強	school	classroom
1708637439864	本	home,school	
1708637439865	これ	grammar	
1708637439866	何	grammar	
1708637439867	それ	grammar	
1708637439868	あれ	grammar	
1708637439869	どれ	grammar	
1708637439870	毎日	time	
1708637439871	兄	family	
1708637439872	いる	grammar	
1708637439873	ある	grammar	
1708637439874	あまり	amount,grammar	
1708637439875	今	time	
1708637439876	時間	time	
1708637439877	無い	grammar	
1708637439878	この	grammar	
1708637439879	その	grammar	
1708637439880	あの	grammar	
1708637439881	どの	grammar	
1708637439882	見る	senses	
1708637439883	全然	grammar	
1708637439884	面白い	describing	
1708637439885	する	grammar	
1708637439886	なる	grammar	
1708637439887	先生	school,people	classroom
1708637439888	ください	speaking	greetings
1708637439889	名前	people,speaking	greetings
1708637439890	教える	school,speaking	classroom
1708637439891	ここ	places,grammar	
1708637439892	そこ	places,grammar	
1708637439893	あそこ	places,grammar	
1708637439894	どこ	places,grammar	
1708637439895	置く	actions	
1708637439896	家	home	
1708637439897	帰る	movement	
1708637439898	話	speaking	
1708637439899	知る	feelings	
1708637439900	彼女	people	
1708637439901	ちゃん	people	greetings
1708637439902	はい	speaking	greetings
1708637439903	いいえ	speaking	greetings
1708637439904	日本	places	
1708637439905	学校	school,places	classroom
1708637439906	行く	movement	
1708637439907	明日	time	
1708637439908	来る	movement	
1708637439909	また	time,grammar	
1708637439910	いつ	time,grammar	
1708637439911	思う	feelings	
1708637439912	こう	grammar	
1708637439913	そう	grammar	
1708637439914	どう	grammar	
1708637439915	会う	people,movement	
1708637439916	次	time	
1708637439917	方	places	
1708637439918	方	people	greetings
1708637439919	聞く	senses	
1708637439920	聞く	speaking	
1708637439921	お願いします	speaking	greetings
1708637439922	分かる	feelings	
1708637439923	よく	describing,grammar	
1708637439924	よく	time,grammar	
1708637439925	考える	feelings	
1708637439926	ありがとうございます	speaking	greetings
1708637439927	話す	speaking	
1708637439928	もっと	amount,grammar	
1708637439929	ゆっくり	movement,describing	
1708637439930	言う	speaking	
1708637439931	友達	people	
1708637439932	待つ	actions	
1708637439933	昨日	time	
1708637439934	町	places	
1708637439935	高い	money,describing	shopping
1708637439936	高い	describing	
1708637439937	一番	amount,grammar	
1708637439938	ちょっと	amount,grammar	
1708637439939	もう	time,grammar	
1708637439940	もう	amount,grammar	
1708637439941	父	family	
1708637439942	大好き	feelings	
1708637439943	母	family	
1708637439944	あげる	actions,grammar	
1708637439945	くれる	grammar	
1708637439946	もらう	actions,grammar	
1708637439947	物	grammar	
1708637439948	君	people	
1708637439949	中	places	
1708637439950	出来る	grammar	
1708637439951	本当	describing	
1708637439952	立つ	movement	
1708637439953	前	places,time	
1708637439954	入る	movement	
1708637439955	家族	family	
1708637439956	住む	home,places	
1708637439957	大きな	describing	
1708637439958	大きい	describing	
1708637439959	声	body,speaking	
1708637439960	目	body	
1708637439961	手	body	
1708637439962	上げる	actions	
1708637439963	嫌い	feelings	
1708637439964	おじいさん	family	host family
1708637439965	おばあさん	family	host family
1708637439966	元気	health,feelings	greetings
1708637439967	いつも	time	
1708637439968	持つ	actions	
1708637439969	みんな	people,amount	
1708637439970	使う	actions	
1708637439971	大丈夫	describing	greetings
1708637439972	始める	time	
1708637439973	今日	time	
1708637439974	部屋	home	
1708637439975	悪い	describing	
1708637439976	まあ	grammar,speaking	
1708637439977	食べる	food	
1708637439978	沢山	amount	
1708637439979	場所	places	
1708637439980	呼ぶ	speaking	
1708637439981	動く	movement	
1708637439982	気持ち	feelings	
1708637439983	誰	people,grammar	
1708637439984	子	family,people	
1708637439985	どんな	grammar	
1708637439986	意味	ideas,speaking	
1708637439987	言葉	speaking	
1708637439988	心配	feelings	
1708637439989	様子	describing	
1708637439990	信じる	feelings	
1708637439991	自分	people	
1708637439992	調べる	senses,school	
1708637439993	事	grammar	
1708637439994	同じ	describing	
1708637439995	申し訳ない	speaking	greetings
1708637439996	もちろん	grammar	
1708637439997	とても	grammar	
1708637439998	楽しい	feelings	
1708637439999	失礼します	speaking	greetings
1708637440000	手伝う	actions	
1708637440001	忙しい	describing,time	
1708637440002	仕事	work	
1708637440003	続ける	time,grammar	
1708637440004	見せる	senses,actions	
